content_id,client_id,search_volume,competition,competition_level,cpc,content_type,main_intent,word_count,char_count,provider_used,model_used,impressions_90d,clicks_90d,pageviews_90d,sessions_90d,users_90d,engaged_sessions_90d,ai_sessions_90d,scroll_events_90d,days_with_impressions,days_with_sessions,impressions_last_30d,clicks_last_30d,sessions_last_30d,impressions_prev_30d,clicks_prev_30d,sessions_prev_30d,content_age_days,age_tier,age_tier_order,days_since_last_update,freshness_tier,word_count_tier,char_count_tier,ctr,avg_position,engagement_rate,scroll_rate,ai_traffic_pct,impression_tier,position_tier,trend_direction,trend_pct,target_decline,staleness_score,expected_ctr,ctr_gap,ctr_defect_score,baseline_score,decay_risk_score,action_label,reason_code
content_1777590f5506,client_f369cb89fc,0.0,0.0,LOW,0.0,keyword article,informational,2673.0,21069.0,google,gemini-3-flash-preview,354,1,3,5,5,1,0,3,33,4,8,0,2,304,1,2,117,91-180,4,20,0-30,2000-3500,15000-25000,0.28,0.5,20.0,100.0,0.0,moderate,top_3,down,-97.4,1,0.2074468085106383,0.6666666666666666,0.3866666666666666,0.3866666666666666,0.2970567375886525,0.7160900213389165,MONITOR_ONLY,STABLE_PERFORMANCE
content_9412afc8a975,client_3fdba35f04,590.0,0.06,LOW,1.62,keyword article,transactional,1352.0,8546.0,,gpt-4o-mini,306,0,1,1,1,0,0,0,74,1,30,0,0,77,0,1,165,91-180,4,104,91-180,1000-2000,8000-15000,0.0,22.5,0.0,0.0,0.0,moderate,page_3_5,down,-61.0,1,0.2925531914893617,0.0425531914893617,0.0425531914893617,0.0425531914893617,0.1675531914893617,0.7152785501786607,MONITOR_ONLY,STABLE_PERFORMANCE
content_fba5eaca6a9d,client_3fdba35f04,20.0,0.63,MEDIUM,1.84,keyword article,informational,1346.0,8444.0,,gpt-4o-mini,662,0,1,1,1,0,0,0,77,1,42,0,1,160,0,0,165,91-180,4,104,91-180,1000-2000,8000-15000,0.0,23.6,0.0,0.0,0.0,moderate,page_3_5,down,-73.8,1,0.2925531914893617,0.04065040650406504,0.04065040650406504,0.04065040650406504,0.16660179899671337,0.7152785501786607,MONITOR_ONLY,STABLE_PERFORMANCE
content_54bda6d2e0dd,client_3fdba35f04,50.0,0.18,LOW,0.0,keyword article,transactional,1376.0,8628.0,,gpt-4o-mini,140,0,1,1,1,0,0,0,53,1,20,0,0,49,0,1,165,91-180,4,104,91-180,1000-2000,8000-15000,0.0,29.6,0.0,0.0,0.0,low,page_3_5,down,-59.2,1,0.2925531914893617,0.032679738562091505,0.032679738562091505,0.032679738562091505,0.1626164650257266,0.7152785501786607,MONITOR_ONLY,STABLE_PERFORMANCE
content_345ddb5d3d57,client_3fdba35f04,0.0,0.0,LOW,0.0,keyword article,informational,1404.0,8756.0,,gpt-4o-mini,881,0,1,1,1,0,0,0,87,1,108,0,0,274,0,0,148,91-180,4,104,91-180,1000-2000,8000-15000,0.0,26.0,0.0,0.0,0.0,moderate,page_3_5,down,-60.6,1,0.2624113475177305,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.14972419227738376,0.7152785501786607,MONITOR_ONLY,STABLE_PERFORMANCE
content_cae546aab87e,client_3fdba35f04,0.0,0.0,LOW,0.0,keyword article,informational,1335.0,8364.0,,gpt-4o-mini,256,0,1,1,1,0,0,0,54,1,4,0,0,54,0,0,155,91-180,4,104,91-180,1000-2000,8000-15000,0.0,23.2,0.0,0.0,0.0,low,page_3_5,down,-92.6,1,0.274822695035461,0.04132231404958678,0.04132231404958678,0.04132231404958678,0.15807250454252386,0.7152785501786607,MONITOR_ONLY,STABLE_PERFORMANCE
content_a0daee2036e8,client_3fdba35f04,20.0,0.08,LOW,0.0,keyword article,transactional,1423.0,8822.0,,gpt-4o-mini,184,0,2,1,1,0,0,1,66,1,24,0,0,49,0,1,165,91-180,4,104,91-180,1000-2000,8000-15000,0.0,23.9,0.0,50.0,0.0,low,page_3_5,down,-51.0,1,0.2925531914893617,0.040160642570281124,0.040160642570281124,0.040160642570281124,0.16635691702982142,0.7152785501786607,MONITOR_ONLY,STABLE_PERFORMANCE
content_5c9855f71d11,client_3fdba35f04,0.0,0.0,LOW,0.0,keyword article,informational,1312.0,8391.0,,gpt-4o-mini,149,1,3,1,1,0,0,1,65,1,17,0,0,48,0,1,155,91-180,4,104,91-180,1000-2000,8000-15000,0.67,12.2,0.0,33.33,0.0,low,striking,down,-64.6,1,0.274822695035461,0.07575757575757576,0.0,0.0,0.1374113475177305,0.7152785501786607,MONITOR_ONLY,STABLE_PERFORMANCE
content_2eceefd208e2,client_3fdba35f04,10.0,0.17,LOW,0.0,keyword article,informational,1357.0,8556.0,,gpt-4o-mini,320,1,1,1,1,0,0,0,45,1,144,0,0,176,1,1,165,91-180,4,104,91-180,1000-2000,8000-15000,0.31,12.8,0.0,0.0,0.0,moderate,striking,stable,-18.2,0,0.2925531914893617,0.07246376811594203,0.0,0.0,0.14627659574468085,0.7152785501786607,MONITOR_ONLY,STABLE_PERFORMANCE
content_9824710082d8,client_3fdba35f04,0.0,0.0,LOW,0.0,keyword article,informational,1397.0,9273.0,,gpt-4o-mini,283,0,2,2,2,0,0,0,68,2,54,0,1,50,0,1,174,91-180,4,104,91-180,1000-2000,8000-15000,0.0,21.3,0.0,0.0,0.0,low,page_3_5,stable,8.0,0,0.30851063829787234,0.04484304932735426,0.04484304932735426,0.04484304932735426,0.1766768438126133,0.7150312969476191,MONITOR_ONLY,STABLE_PERFORMANCE
